ID de la réponse	Date de soumission	Dernière page	Langue de départ	Date de lancement	Date de la dernière action	Merci d'appeler l'expérimentateur pour cette partie.(Seul l'expérimentateur est autorisé à répondre) 	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation 	Merci d'evaluer chaque affirmation 	Merci d'evaluer chaque affirmation 	Merci d'evaluer chaque affirmation 	Merci d'evaluer chaque affirmation 	Merci d'evaluer chaque affirmation 	Merci d'evaluer chaque affirmation 	Merci d'evaluer chaque affirmation 	Merci d'evaluer chaque affirmation 	
id	submitdate	lastpage	startlanguage	startdate	datestamp	UserNum	App_SQ001	App_SQ002	App_SQ003	App_SQ004	userConfort_SQ001	userConfort_SQ005	userConfort_SQ002	userConfort_SQ003	userConfort_SQ004	AgentBehavior_SQ001	AgentBehavior_SQ002	AgentBehavior_SQ003	AgentBehavior_SQ004	AgentBehavior_SQ005	AgentBehavior_SQ006	AgentBehavior_SQ007	AgentBehavior_SQ008	AgentBehavior_SQ010	utilisateur_SQ001	utilisateur_SQ002	utilisateur_SQ003	utilisateur_SQ004	utilisateur_SQ005	utilisateur_SQ006	utilisateur_SQ007	utilisateur_SQ008	utilisateur_SQ009	
11	2018-03-28 15:57:07	4	fr	2018-03-28 15:53:54	2018-03-28 15:57:07	13.0000000000	A4	A4	A2	A1	A3	A4	A4	A3	A2	A5	A1	A4	A4	A2	A2	A3	A1	A1	A4	A2	A4	A4	A3	A2	A3	A4	A3
12	2018-03-28 17:31:10	4	fr	2018-03-28 17:28:37	2018-03-28 17:31:10	14.0000000000	A5	A2	A1	A1	A4	A4	A5	A2	A2	A5	A1	A5	A5	A2	A1	A2	A2	A2	A2	A4	A1	A2	A4	A4	A4	A5	A3
13	2018-03-28 17:58:17	4	fr	2018-03-28 17:56:01	2018-03-28 17:58:17	15.0000000000	A1	A3	A1	A1	A5	A4	A5	A5	A1	A5	A1	A5	A5	A1	A1	A1	A1	A2	A1	A5	A1	A1	A5	A3	A5	A2	A3
14	2018-04-05 15:12:06	4	fr	2018-04-05 15:08:10	2018-04-05 15:12:06	16.0000000000	A4	A3	A2	A5	A5	A3	A5	A5	A1	A4	A2	A3	A4	A2	A3	A2	A2	A2	A2	A4	A1	A2	A3	A3	A4	A4	A3
15	2018-04-06 14:30:04	4	fr	2018-04-06 14:27:31	2018-04-06 14:30:04	17.0000000000	A5	A5	A1	A5	A1	A1	A1	A1	A1	A3	A5	A5	A5	A1	A5	A1	A4	A2	A4	A2	A4	A5	A5	A1	A5	A2	A3
16	2018-04-06 15:10:41	4	fr	2018-04-06 15:08:05	2018-04-06 15:10:41	18.0000000000	A5	A2	A2	A5	A4	A4	A4	A5	A1	A5	A2	A2	A4	A2	A3	A2	A2	A2	A4	A2	A1	A4	A2	A3	A2	A4	A3
17	2018-04-06 15:51:54	4	fr	2018-04-06 15:47:27	2018-04-06 15:51:54	19.0000000000	A5	A2	A3	A1	A2	A4	A4	A3	A3	A5	A2	A5	A4	A2	A2	A3	A2	A2	A5	A4	A2	A4	A3	A4	A4	A4	A3
18	2018-04-06 16:33:03	4	fr	2018-04-06 16:29:38	2018-04-06 16:33:03	20.0000000000	A5	A4	A1	A2	A5	A4	A5	A4	A1	A4	A2	A2	A4	A2	A2	A4	A2	A2	A1	A4	A2	A2	A3	A1	A1	A4	A3
19	2018-04-06 17:18:31	4	fr	2018-04-06 17:16:09	2018-04-06 17:18:31	21.0000000000	A5	A2	A1	A1	A2	A2	A2	A2	A3	A5	A1	A5	A5	A1	A1	A2	A1	A1	A1	A5	A1	A1	A4	A5	A3	A4	A3
20	2018-04-06 17:56:50	4	fr	2018-04-06 17:54:05	2018-04-06 17:56:50	22.0000000000	A5	A5	A4	A5	A5	A5	A5	A5	A1	A2	A2	A5	A5	A2	A5	A2	A2	A2	A1	A5	A1	A5	A3	A2	A3	A5	A2
21	2018-04-09 10:12:16	4	fr	2018-04-09 10:08:45	2018-04-09 10:12:16	23.0000000000	A4	A4	A1	A1	A4	A4	A3	A4	A2	A4	A2	A5	A4	A4	A2	A3	A1	A2	A4	A4	A2	A2	A2	A2	A2	A3	A3
22	2018-04-09 11:01:53	4	fr	2018-04-09 10:56:46	2018-04-09 11:01:53	24.0000000000	A4	A4	A3	A5	A4	A5	A4	A4	A3	A4	A1	A2	A2	A3	A1	A2	A1	A2	A3	A3	A2	A3	A4	A2	A4	A3	A3
23	2018-04-09 12:57:31	4	fr	2018-04-09 12:53:36	2018-04-09 12:57:31	25.0000000000	A5	A4	A4	A1	A4	A2	A4	A2	A1	A4	A2	A4	A4	A3	A5	A2	A2	A2	A4	A4	A1	A2	A4	A2	A4	A4	A3
24	2018-04-09 14:20:29	4	fr	2018-04-09 14:18:02	2018-04-09 14:20:29	26.0000000000	A5	A4	A1	A5	A4	A4	A5	A4	A2	A5	A2	A3	A5	A4	A1	A4	A2	A2	A5	A4	A1	A2	A2	A2	A2	A4	A3
25	2018-04-09 14:54:53	4	fr	2018-04-09 14:49:59	2018-04-09 14:54:53	27.0000000000	A5	A5	A2	A1	A5	A5	A5	A5	A1	A5	A3	A3	A3	A3	A1	A5	A2	A2	A2	A5	A1	A3	A3	A3	A3	A3	A3
26	{question_not_shown}	1	fr	2018-04-09 15:28:43	2018-04-09 15:28:53	28.0000000000	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
27	2018-04-09 15:35:43	4	fr	2018-04-09 15:31:46	2018-04-09 15:35:43	28.0000000000	A5	A2	A3	A5	A5	A5	A5	A5	A1	A5	A1	A5	A5	A5	A2	A4	A2	A2	A4	A3	A2	A2	A3	A4	A3	A4	A3
28	2018-04-09 16:15:21	4	fr	2018-04-09 16:10:07	2018-04-09 16:15:21	29.0000000000	A4	A2	A3	A4	A4	A4	A4	A4	A2	A4	A2	A4	A5	A3	A2	A3	A2	A2	A2	A3	A3	A3	A3	A4	A3	A4	A3
29	2018-04-09 16:51:25	4	fr	2018-04-09 16:48:35	2018-04-09 16:51:25	30.0000000000	A5	A4	A2	A5	A3	A4	A4	A5	A1	A4	A3	A5	A4	A2	A2	A2	A4	A2	A4	A4	A3	A4	A4	A4	A4	A4	A3
30	2018-04-09 17:28:04	4	fr	2018-04-09 17:24:41	2018-04-09 17:28:04	31.0000000000	A5	A4	A3	A5	A5	A5	A4	A4	A1	A4	A2	A5	A5	A4	A2	A3	A3	A2	A3	A4	A2	A4	A3	A4	A2	A3	A3
31	2018-04-09 18:16:54	4	fr	2018-04-09 18:07:28	2018-04-09 18:16:54	32.0000000000	A4	A5	A1	A1	A4	A3	A4	A3	A2	A4	A4	A2	A2	A4	A2	A2	A4	A2	A4	A3	A5	A5	A2	A2	A2	A4	A3
32	2018-04-09 18:53:43	4	fr	2018-04-09 18:50:49	2018-04-09 18:53:43	33.0000000000	A2	A2	A1	A2	A2	A2	A4	A3	A3	A2	A4	A2	A2	A2	A4	A2	A4	A2	A4	A2	A4	A4	A3	A2	A4	A2	A3
33	2018-04-10 10:50:55	4	fr	2018-04-10 10:48:59	2018-04-10 10:50:55	34.0000000000	A4	A4	A3	A5	A5	A4	A5	A4	A1	A5	A1	A4	A5	A4	A1	A4	A2	A2	A4	A4	A3	A5	A3	A1	A3	A4	A3
34	2018-04-10 11:26:31	4	fr	2018-04-10 11:22:58	2018-04-10 11:26:31	35.0000000000	A4	A4	A1	A1	A4	A4	A4	A4	A1	A5	A2	A4	A4	A4	A1	A4	A2	A2	A2	A4	A2	A4	A2	A2	A2	A4	A3
35	2018-04-10 13:51:34	4	fr	2018-04-10 13:45:48	2018-04-10 13:51:34	36.0000000000	A4	A2	A5	A1	A3	A2	A2	A4	A3	A4	A1	A5	A5	A3	A2	A3	A2	A2	A3	A4	A4	A4	A3	A4	A3	A4	A3
36	2018-04-10 14:22:03	4	fr	2018-04-10 14:16:00	2018-04-10 14:22:03	37.0000000000	A5	A5	A1	A1	A4	A5	A5	A4	A2	A5	A2	A4	A4	A4	A2	A4	A2	A2	A4	A4	A2	A2	A2	A4	A2	A4	A3
37	2018-04-10 15:13:15	4	fr	2018-04-10 15:07:06	2018-04-10 15:13:15	38.0000000000	A5	A4	A4	A3	A4	A5	A4	A3	A3	A4	A2	A2	A2	A3	A1	A5	A1	A2	A4	A4	A2	A4	A3	A4	A3	A2	A3
38	2018-04-10 16:05:25	4	fr	2018-04-10 16:01:20	2018-04-10 16:05:25	39.0000000000	A5	A5	A1	A5	A4	A4	A4	A3	A3	A3	A1	A3	A4	A2	A2	A2	A2	A2	A4	A2	A2	A4	A5	A2	A5	A2	A3
39	2018-04-10 16:08:59	4	fr	2018-04-10 16:04:24	2018-04-10 16:08:59	40.0000000000	A4	A2	A5	A1	A3	A3	A4	A5	A1	A4	A2	A5	A5	A4	A2	A5	A4	A2	A4	A3	A5	A5	A3	A4	A4	A5	A3
40	2018-04-10 17:11:46	4	fr	2018-04-10 17:07:44	2018-04-10 17:11:46	41.0000000000	A5	A5	A1	A1	A3	A2	A3	A3	A2	A5	A1	A4	A5	A4	A2	A5	A1	A2	A1	A5	A1	A4	A1	A5	A1	A5	A3
41	2018-04-10 17:17:25	4	fr	2018-04-10 17:09:54	2018-04-10 17:17:25	42.0000000000	A4	A4	A3	A1	A5	A5	A4	A5	A1	A4	A1	A4	A4	A4	A1	A4	A1	A2	A4	A1	A4	A5	A4	A1	A4	A3	A3
42	2018-04-10 17:59:18	4	fr	2018-04-10 17:55:18	2018-04-10 17:59:18	43.0000000000	A5	A4	A1	A1	A2	A4	A4	A3	A4	A5	A2	A2	A5	A3	A3	A5	A3	A1	A1	A5	A5	A2	A3	A4	A2	A5	A2
43	2018-04-11 09:56:05	4	fr	2018-04-11 09:53:27	2018-04-11 09:56:05	44.0000000000	A5	A4	A1	A1	A5	A5	A5	A5	A1	A5	A1	A3	A5	A5	A1	A5	A2	A2	A4	A4	A2	A2	A2	A2	A2	A2	A3
44	{question_not_shown}	{question_not_shown}	fr	2018-04-11 09:57:34	2018-04-11 09:57:34	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
45	2018-04-11 10:25:59	4	fr	2018-04-11 10:19:21	2018-04-11 10:25:59	45.0000000000	A5	A4	A2	A1	A4	A4	A4	A3	A2	A4	A3	A5	A4	A2	A2	A2	A3	A2	A4	A3	A3	A4	A4	A3	A4	A2	A3
46	2018-04-11 11:09:50	4	fr	2018-04-11 11:05:57	2018-04-11 11:09:50	46.0000000000	A4	A4	A1	A1	A4	A4	A4	A3	A2	A2	A2	A4	A4	A4	A2	A4	A2	A2	A4	A2	A2	A4	A2	A2	A2	A2	A3
47	{question_not_shown}	{question_not_shown}	fr	2018-04-11 12:36:38	2018-04-11 12:36:38	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
48	2018-04-11 13:46:23	4	fr	2018-04-11 13:43:49	2018-04-11 13:46:23	47.0000000000	A2	A4	A1	A1	A4	A3	A2	A3	A2	A2	A4	A3	A4	A2	A3	A3	A4	A5	A4	A2	A4	A4	A4	A2	A4	A4	A3
49	2018-04-11 14:45:30	4	fr	2018-04-11 14:38:46	2018-04-11 14:45:30	48.0000000000	A5	A3	A2	A2	A4	A4	A4	A5	A2	A5	A2	A3	A4	A4	A3	A4	A2	A2	A2	A5	A1	A1	A3	A4	A3	A4	A3
50	2018-04-11 15:43:02	4	fr	2018-04-11 15:38:53	2018-04-11 15:43:02	49.0000000000	A4	A4	A1	A1	A4	A3	A5	A5	A1	A4	A1	A4	A5	A1	A1	A2	A1	A2	A2	A4	A2	A4	A4	A4	A4	A4	A3
51	2018-04-11 16:21:45	4	fr	2018-04-11 16:18:35	2018-04-11 16:21:45	50.0000000000	A4	A4	A2	A1	A3	A3	A4	A3	A1	A4	A4	A2	A4	A2	A2	A2	A3	A2	A4	A4	A4	A4	A4	A2	A4	A4	A3
52	2018-04-11 17:02:12	4	fr	2018-04-11 16:57:22	2018-04-11 17:02:12	51.0000000000	A5	A2	A1	A1	A2	A2	A2	A4	A2	A5	A2	A5	A3	A3	A4	A4	A5	A2	A4	A3	A3	A1	A2	A2	A2	A3	A3
53	2018-04-11 17:45:57	4	fr	2018-04-11 17:43:57	2018-04-11 17:45:57	52.0000000000	A5	A3	A2	A4	A4	A4	A4	A4	A2	A2	A2	A5	A4	A3	A2	A3	A4	A2	A2	A2	A2	A3	A3	A2	A3	A4	A3
54	2018-04-11 18:09:37	4	fr	2018-04-11 18:07:06	2018-04-11 18:09:37	53.0000000000	A5	A5	A1	A1	A5	A5	A5	A5	A1	A5	A1	A1	A5	A4	A1	A4	A1	A2	A2	A5	A1	A1	A2	A5	A4	A5	A3
55	2018-04-12 10:22:16	4	fr	2018-04-12 10:19:40	2018-04-12 10:22:16	54.0000000000	A5	A3	A1	A1	A4	A3	A5	A5	A1	A5	A1	A4	A5	A1	A1	A1	A1	A2	A2	A5	A1	A2	A5	A4	A5	A4	A3
56	2018-04-12 11:05:16	4	fr	2018-04-12 11:00:23	2018-04-12 11:05:16	55.0000000000	A5	A4	A2	A1	A4	A4	A3	A4	A2	A4	A2	A4	A4	A2	A2	A2	A2	A2	A4	A3	A2	A3	A3	A4	A4	A4	A3
57	2018-04-12 11:38:05	4	fr	2018-04-12 11:34:46	2018-04-12 11:38:05	56.0000000000	A4	A4	A1	A3	A4	A2	A4	A2	A4	A4	A2	A2	A3	A1	A2	A1	A3	A2	A4	A2	A4	A4	A4	A2	A4	A3	A3
58	2018-04-12 11:41:47	4	fr	2018-04-12 11:37:43	2018-04-12 11:41:47	57.0000000000	A5	A4	A3	A1	A2	A2	A2	A2	A4	A4	A2	A4	A4	A4	A2	A4	A4	A2	A4	A4	A4	A4	A4	A2	A2	A4	A3
59	2018-04-12 13:59:26	4	fr	2018-04-12 13:54:40	2018-04-12 13:59:26	58.0000000000	A5	A5	A2	A3	A5	A4	A5	A4	A1	A4	A2	A4	A4	A2	A2	A3	A2	A2	A4	A3	A2	A4	A4	A3	A3	A3	A3
60	2018-04-12 14:36:35	4	fr	2018-04-12 14:34:05	2018-04-12 14:36:35	60.0000000000	A5	A5	A2	A1	A4	A3	A4	A4	A2	A4	A1	A2	A4	A4	A2	A4	A2	A2	A5	A2	A1	A4	A2	A2	A2	A1	A3
61	2018-04-12 14:37:55	4	fr	2018-04-12 14:34:42	2018-04-12 14:37:55	59.0000000000	A5	A5	A4	A3	A5	A5	A5	A4	A1	A4	A1	A5	A5	A5	A2	A4	A2	A2	A2	A2	A3	A4	A2	A5	A2	A4	A3
62	2018-04-12 15:23:40	4	fr	2018-04-12 15:20:42	2018-04-12 15:23:40	61.0000000000	A5	A4	A1	A1	A4	A4	A5	A4	A1	A5	A1	A2	A4	A3	A1	A4	A2	A2	A4	A2	A1	A4	A3	A1	A3	A2	A3
63	{question_not_shown}	1	fr	2018-04-12 16:13:52	2018-04-12 16:14:04	62.0000000000	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
64	2018-04-12 16:17:25	4	fr	2018-04-12 16:14:26	2018-04-12 16:17:25	63.0000000000	A3	A4	A5	A1	A4	A4	A3	A4	A3	A5	A2	A5	A4	A4	A2	A4	A2	A2	A5	A4	A4	A4	A2	A2	A3	A3	A3
65	2018-04-12 16:18:58	4	fr	2018-04-12 16:15:47	2018-04-12 16:18:58	62.0000000000	A5	A4	A1	A1	A4	A5	A4	A5	A1	A5	A4	A4	A5	A3	A2	A3	A2	A2	A4	A2	A3	A4	A3	A1	A2	A2	A3
66	2018-04-12 17:00:12	4	fr	2018-04-12 16:56:50	2018-04-12 17:00:12	64.0000000000	A4	A4	A1	A5	A4	A4	A5	A5	A1	A5	A1	A4	A4	A3	A1	A2	A2	A2	A4	A2	A2	A4	A4	A4	A4	A3	A3
67	2018-04-16 10:29:45	4	fr	2018-04-16 10:25:35	2018-04-16 10:29:45	65.0000000000	A5	A4	A1	A1	A5	A5	A5	A4	A1	A5	A2	A4	A4	A2	A2	A4	A2	A2	A4	A4	A4	A4	A4	A3	A3	A2	A3
68	2018-04-16 11:05:15	4	fr	2018-04-16 11:01:53	2018-04-16 11:05:15	66.0000000000	A4	A4	A2	A2	A3	A3	A4	A3	A2	A4	A2	A4	A4	A2	A3	A3	A2	A2	A4	A4	A2	A4	A3	A4	A3	A4	A3
69	2018-04-16 11:11:10	4	fr	2018-04-16 11:09:29	2018-04-16 11:11:10	67.0000000000	A5	A5	A5	A5	A5	A4	A5	A5	A1	A5	A3	A2	A5	A3	A1	A3	A2	A2	A4	A4	A1	A3	A3	A1	A4	A4	A3
70	2018-04-17 09:36:36	4	fr	2018-04-17 09:34:14	2018-04-17 09:36:36	68.0000000000	A3	A2	A2	A1	A4	A3	A3	A3	A2	A2	A4	A1	A2	A4	A3	A4	A4	A2	A5	A2	A3	A4	A1	A2	A1	A2	A3
71	2018-04-17 10:25:40	4	fr	2018-04-17 10:22:37	2018-04-17 10:25:40	69.0000000000	A4	A4	A1	A2	A5	A5	A5	A5	A1	A4	A2	A2	A4	A4	A2	A4	A4	A2	A4	A2	A4	A4	A2	A2	A2	A4	A3
72	2018-04-17 10:32:53	4	fr	2018-04-17 10:28:16	2018-04-17 10:32:53	70.0000000000	A5	A4	A2	A2	A3	A4	A4	A4	A2	A4	A2	A4	A3	A2	A2	A2	A2	A2	A2	A5	A1	A3	A3	A2	A3	A4	A3
73	{question_not_shown}	2	fr	2018-04-17 11:17:48	2018-04-17 11:19:16	1.0000000000	A5	A4	A3	A5	A3	A5	A4	A2	A2	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
74	2018-04-17 11:22:33	4	fr	2018-04-17 11:19:43	2018-04-17 11:22:33	71.0000000000	A5	A4	A3	A5	A4	A5	A4	A3	A2	A4	A2	A4	A2	A1	A3	A3	A4	A2	A2	A5	A5	A4	A4	A3	A4	A3	A3
75	2018-04-17 11:22:17	4	fr	2018-04-17 11:19:49	2018-04-17 11:22:17	72.0000000000	A4	A4	A2	A3	A4	A4	A3	A2	A4	A4	A2	A4	A4	A4	A2	A3	A2	A2	A4	A2	A2	A4	A3	A4	A3	A5	A3
76	2018-04-17 13:32:37	4	fr	2018-04-17 13:27:30	2018-04-17 13:32:37	73.0000000000	A5	A5	A2	A5	A5	A5	A5	A4	A1	A5	A2	A4	A2	A3	A1	A2	A1	A2	A4	A4	A2	A2	A4	A2	A4	A3	A3
77	2018-04-17 14:10:14	4	fr	2018-04-17 14:07:02	2018-04-17 14:10:14	74.0000000000	A5	A5	A1	A1	A3	A5	A5	A3	A3	A5	A1	A3	A4	A4	A1	A4	A3	A2	A2	A5	A1	A2	A2	A5	A2	A5	A3
78	{question_not_shown}	1	fr	2018-04-17 14:37:51	2018-04-17 14:38:00	76.0000000000	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}
79	2018-04-17 14:41:19	4	fr	2018-04-17 14:38:33	2018-04-17 14:41:19	75.0000000000	A5	A5	A3	A1	A4	A4	A4	A4	A1	A4	A2	A3	A4	A5	A3	A5	A3	A2	A3	A3	A4	A4	A1	A2	A1	A2	A3
80	2018-04-18 10:23:58	4	fr	2018-04-18 10:21:36	2018-04-18 10:23:58	76.0000000000	A5	A5	A1	A1	A5	A4	A5	A4	A1	A5	A2	A4	A4	A2	A1	A2	A1	A2	A4	A4	A1	A2	A4	A4	A5	A2	A3
81	2018-04-18 13:19:39	4	fr	2018-04-18 13:16:01	2018-04-18 13:19:39	77.0000000000	A4	A4	A3	A2	A4	A5	A4	A5	A2	A4	A2	A5	A5	A3	A2	A2	A3	A2	A4	A2	A3	A4	A2	A3	A3	A4	A3
82	2018-04-18 14:06:19	4	fr	2018-04-18 14:04:09	2018-04-18 14:06:18	79.0000000000	A4	A4	A2	A1	A2	A2	A2	A2	A3	A4	A2	A3	A4	A4	A3	A4	A4	A2	A4	A4	A2	A4	A2	A4	A2	A4	A3
83	2018-04-18 14:07:41	4	fr	2018-04-18 14:04:29	2018-04-18 14:07:41	78.0000000000	A5	A4	A1	A1	A4	A4	A4	A4	A1	A2	A4	A3	A4	A2	A4	A2	A4	A2	A4	A2	A2	A3	A2	A2	A2	A4	A3
