ID;ToMAgent;NegotiatorAgent;FinalGuess;GuessedValues 
1;0.9;0.3;0.4000000000000001;[1.0, 0.8500000000000001, 0.8500000000000001, 0.4000000000000001, 0.4000000000000001]
2;0.9;0.4;0.4000000000000001;[0.09999999999999998, 0.8500000000000001, 0.8500000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001]
3;0.9;0.5;0.35;[0.09999999999999998, 0.8500000000000001, 0.8500000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.35, 0.35, 0.35]
4;0.8;0.3;0.4000000000000001;[0.09999999999999998, 0.8500000000000001, 0.8500000000000001, 0.4000000000000001, 0.4000000000000001]
5;0.8;0.4;0.3;[0.19999999999999996, 0.8500000000000001, 0.8500000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.3, 0.3, 0.3]
6;0.8;0.5;0.35;[0.19999999999999996, 0.8500000000000001, 0.8500000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.35, 0.35]
7;0.7000000000000001;0.3;0.35;[0.19999999999999996, 0.8500000000000001, 0.8500000000000001, 0.4000000000000001, 0.35, 0.35, 0.35]
8;0.7000000000000001;0.4;0.3;[0.29999999999999993, 0.8500000000000001, 0.8500000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.3, 0.3]
9;0.7000000000000001;0.5;0.35;[0.29999999999999993, 0.8500000000000001, 0.8500000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.35, 0.35]
10;0.6000000000000001;0.3;0.35;[0.29999999999999993, 0.8500000000000001, 0.8500000000000001, 0.4000000000000001, 0.35, 0.35]
11;0.6000000000000001;0.4;0.35;[0.3999999999999999, 0.8500000000000001, 0.8500000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.35, 0.35]
12;0.6000000000000001;0.5;0.35;[0.3999999999999999, 0.8500000000000001, 0.8500000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.35, 0.35]
ID;ToMAgent;NegotiatorAgent;FinalGuess;GuessedValues 
13;0.9;0.3;0.4000000000000001;[1.0, 0.8500000000000001, 0.8500000000000001, 0.4000000000000001, 0.4000000000000001]
14;0.9;0.4;0.4000000000000001;[0.09999999999999998, 0.8500000000000001, 0.8500000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001]
15;0.9;0.5;0.4000000000000001;[0.09999999999999998, 0.8500000000000001, 0.8500000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001]
16;0.8;0.3;0.4000000000000001;[0.09999999999999998, 0.8500000000000001, 0.8500000000000001, 0.4000000000000001, 0.4000000000000001]
17;0.8;0.4;0.3;[0.19999999999999996, 0.8500000000000001, 0.8500000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.3, 0.3, 0.3]
18;0.8;0.5;0.3;[0.19999999999999996, 0.8500000000000001, 0.8500000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.3, 0.3]
19;0.7000000000000001;0.3;0.35;[0.19999999999999996, 0.8500000000000001, 0.8500000000000001, 0.4000000000000001, 0.35, 0.35, 0.35]
20;0.7000000000000001;0.4;0.3;[0.29999999999999993, 0.8500000000000001, 0.8500000000000001, 0.4000000000000001, 0.35, 0.35, 0.35, 0.3, 0.3]
21;0.7000000000000001;0.5;0.4000000000000001;[0.29999999999999993, 0.8500000000000001, 0.8500000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.3, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001]
22;0.6000000000000001;0.3;0.35;[0.29999999999999993, 0.8500000000000001, 0.8500000000000001, 0.4000000000000001, 0.35, 0.35]
