ID;ToMAgent;NegotiatorAgent;FinalGuess;GuessedValues 
48;0.5;0.6000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999]
ID;ToMAgent;NegotiatorAgent;FinalGuess;GuessedValues 
49;0.3;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
50;0.4;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
51;0.5;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
52;0.3;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
53;0.4;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
54;0.5;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
55;0.3;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
56;0.4;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
57;0.5;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
58;0.3;0.6000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
59;0.4;0.6000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
60;0.5;0.6000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
ID;ToMAgent;NegotiatorAgent;FinalGuess;GuessedValues 
61;0.3;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
62;0.4;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
63;0.5;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
64;0.3;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
65;0.4;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
66;0.5;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
67;0.3;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
68;0.4;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
69;0.5;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
70;0.3;0.6000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
71;0.4;0.6000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
72;0.5;0.6000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
ID;ToMAgent;NegotiatorAgent;FinalGuess;GuessedValues 
73;0.3;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
74;0.4;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
75;0.5;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
76;0.3;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
77;0.4;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
78;0.5;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
79;0.3;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
80;0.4;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
81;0.5;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
82;0.3;0.6000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
83;0.4;0.6000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
84;0.5;0.6000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
ID;ToMAgent;NegotiatorAgent;FinalGuess;GuessedValues 
85;0.3;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
86;0.4;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
87;0.5;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
88;0.3;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
89;0.4;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
90;0.5;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
91;0.3;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
92;0.4;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
93;0.5;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
94;0.3;0.6000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
95;0.4;0.6000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
96;0.5;0.6000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
ID;ToMAgent;NegotiatorAgent;FinalGuess;GuessedValues 
97;0.3;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
98;0.4;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
99;0.5;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
100;0.3;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
101;0.4;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
102;0.5;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
103;0.3;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
104;0.4;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
105;0.5;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
106;0.3;0.6000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
107;0.4;0.6000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
108;0.5;0.6000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999]
ID;ToMAgent;NegotiatorAgent;FinalGuess;GuessedValues 
109;0.3;0.9;0.75;[0.75, 0.75, 0.75, 0.75]
110;0.4;0.9;0.75;[0.75, 0.75, 0.75, 0.75]
111;0.5;0.9;0.75;[0.75, 0.75, 0.75, 0.75]
112;0.3;0.8;0.6;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6, 0.6, 0.6]
113;0.4;0.8;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
114;0.5;0.8;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
115;0.3;0.7000000000000001;0.6;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6, 0.6, 0.6]
116;0.4;0.7000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
117;0.5;0.7000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
118;0.3;0.6000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
119;0.4;0.6000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
120;0.5;0.6000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
ID;ToMAgent;NegotiatorAgent;FinalGuess;GuessedValues 
121;0.3;0.9;0.75;[0.75, 0.75, 0.75, 0.75]
122;0.4;0.9;0.75;[0.75, 0.75, 0.75, 0.75]
123;0.5;0.9;0.75;[0.75, 0.75, 0.75, 0.75]
124;0.3;0.8;0.6;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6, 0.6, 0.6]
125;0.4;0.8;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
126;0.5;0.8;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
127;0.3;0.7000000000000001;0.6;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6, 0.6, 0.6]
128;0.4;0.7000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
129;0.5;0.7000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
130;0.3;0.6000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
131;0.4;0.6000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
132;0.5;0.6000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
ID;ToMAgent;NegotiatorAgent;FinalGuess;GuessedValues 
133;0.3;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
134;0.4;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
135;0.5;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
136;0.3;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
137;0.4;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
138;0.5;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
139;0.3;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
140;0.4;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
141;0.5;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
142;0.3;0.6000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
143;0.4;0.6000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
144;0.5;0.6000000000000001;0.6499999999999999;[0.75, 0.75, 0.75, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999]
ID;ToMAgent;NegotiatorAgent;FinalGuess;GuessedValues 
145;0.3;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
146;0.4;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
147;0.5;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
148;0.3;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
149;0.4;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
150;0.5;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
151;0.3;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
152;0.4;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
